start,end,emission average
3. cayuga heights elementary,13. lehman alternative,12.08808827
3. cayuga heights elementary,14. tompkins recycling,11.71000579
3. cayuga heights elementary,tst boces tompkins,6.443228897
4. belle sherman,1. dewitt middle school,10.11967158
4. belle sherman,10. maint garage,5.906949667
4. belle sherman,2. northeast elementary,10.0317967
4. belle sherman,3. cayuga heights elementary,8.146001699
4. belle sherman,4. belle sherman,0
4. belle sherman,5. caroline elementary,19.10224217
4. belle sherman,6. south hill elementary,4.290051811
4. belle sherman,7. bjm elementary,4.25314436
4. belle sherman,8. fall creek elementary,5.587085092
4. belle sherman,9. boynton middle school,7.544937496
4. belle sherman,11. bus garage,5.855982235
4. belle sherman,12. enfield elementary,25.06015927
4. belle sherman,13. lehman alternative,7.239132901
4. belle sherman,14. tompkins recycling,7.427185152
4. belle sherman,tst boces tompkins,10.32354131
5. caroline elementary,1. dewitt middle school,32.73368512
5. caroline elementary,10. maint garage,23.93788104
5. caroline elementary,2. northeast elementary,33.5566432
5. caroline elementary,3. cayuga heights elementary,26.17815581
5. caroline elementary,4. belle sherman,19.11267384
5. caroline elementary,5. caroline elementary,0
5. caroline elementary,6. south hill elementary,22.94259413
5. caroline elementary,7. bjm elementary,22.2831726
5. caroline elementary,8. fall creek elementary,23.61784179
5. caroline elementary,9. boynton middle school,25.57676337
5. caroline elementary,11. bus garage,23.88688577
5. caroline elementary,12. enfield elementary,47.90917277
5. caroline elementary,13. lehman alternative,25.27079177
5. caroline elementary,14. tompkins recycling,29.44888664
5. caroline elementary,tst boces tompkins,32.37847672
6. south hill elementary,1. dewitt middle school,13.67052111
6. south hill elementary,10. maint garage,4.652928983
6. south hill elementary,2. northeast elementary,12.99318481
6. south hill elementary,3. cayuga heights elementary,8.472893485
6. south hill elementary,4. belle sherman,4.316913587
6. south hill elementary,5. caroline elementary,23.07364669
6. south hill elementary,6. south hill elementary,0
6. south hill elementary,7. bjm elementary,2.994074028
6. south hill elementary,8. fall creek elementary,5.897954451
6. south hill elementary,9. boynton middle school,7.868065772
6. south hill elementary,11. bus garage,6.168535269
6. south hill elementary,12. enfield elementary,24.40709726
6. south hill elementary,13. lehman alternative,6.47448613
6. south hill elementary,14. tompkins recycling,5.593772092
6. south hill elementary,tst boces tompkins,16.80784381
7. bjm elementary,1. dewitt middle school,14.71146598
7. bjm elementary,10. maint garage,1.680306031
7. bjm elementary,2. northeast elementary,15.53404257
7. bjm elementary,3. cayuga heights elementary,7.491071446
7. bjm elementary,4. belle sherman,4.253494345
7. bjm elementary,5. caroline elementary,22.27284312
7. bjm elementary,6. south hill elementary,2.745437259
7. bjm elementary,7. bjm elementary,0
7. bjm elementary,8. fall creek elementary,3.202424255
7. bjm elementary,9. boynton middle school,6.062108263
7. bjm elementary,11. bus garage,5.200863541
7. bjm elementary,12. enfield elementary,21.78070328
7. bjm elementary,13. lehman alternative,3.95821044
7. bjm elementary,14. tompkins recycling,4.840546871
7. bjm elementary,tst boces tompkins,14.35642224
8. fall creek elementary,1. dewitt middle school,9.499987292
8. fall creek elementary,10. maint garage,2.795770908
8. fall creek elementary,2. northeast elementary,8.825692419
8. fall creek elementary,3. cayuga heights elementary,4.325698439
8. fall creek elementary,4. belle sherman,5.596823499
8. fall creek elementary,5. caroline elementary,23.64609513
8. fall creek elementary,6. south hill elementary,4.186614118
